timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
1259,55.760912680998445,12.558609964326024,3376.06,2.818,16.8,173,81,23,0.0
1266,55.76071352697909,12.558605773374438,3398.17,2.818,16.6,173,82,23,0.5
1267,55.76069307513535,12.55860828794539,3400.45,2.818,16.4,173,82,23,0.5
1274,55.76050045900047,12.558610299602151,3421.89,2.837,16.4,172,81,23,0.0
1279,55.76037540100515,12.558607030659914,3435.81,2.837,16.4,172,81,23,0.0
1287,55.760175324976444,12.558608958497643,3458.19,2.837,16.0,172,82,23,0.0
1290,55.76009251177311,12.558613484725356,3467.4,2.837,16.2,172,82,23,0.5
1294,55.75999486260116,12.558596469461918,3478.31,2.837,16.0,171,83,23,0.5
1301,55.75980383902788,12.55856478586793,3499.65,2.846,16.0,170,82,23,0.0
1302,55.759775675833225,12.558554727584124,3502.8,2.846,16.2,170,82,23,0.5
1306,55.75968515127897,12.558536790311337,3512.95,2.846,16.2,173,82,23,0.5
1309,55.75961851514876,12.558522541075945,3520.42,2.846,16.0,176,82,23,0.5
1310,55.75959504581988,12.558521032333374,3523.02,2.846,16.0,174,82,23,0.5
1318,55.75939295813441,12.558494629338384,3545.6,2.818,15.8,174,82,23,0.5
1325,55.7592124119401,12.55851055495441,3565.65,2.809,16.0,175,82,23,0.0
1330,55.75906556099653,12.558504184708,3582.01,2.818,16.0,174,82,23,0.5
1337,55.75888870283961,12.558520026504993,3601.66,2.818,16.4,173,82,24,0.0
1339,55.758838914334774,12.558514326810837,3607.2,2.818,16.4,173,81,24,0.0
1346,55.75868477113545,12.55851399153471,3624.4,2.818,16.6,171,82,23,0.0
1353,55.758495507761836,12.558532347902656,3645.59,2.799,17.0,174,82,24,0.0
1354,55.75847111642361,12.558540478348732,3648.35,2.799,17.0,174,82,24,0.0
1357,55.75842275284231,12.558604683727026,3655.28,2.799,17.4,174,82,24,0.0
1359,55.75840540230274,12.558689005672932,3660.85,2.79,17.8,174,81,24,0.0
1366,55.75830792076886,12.5589600764215,3681.08,2.771,18.2,175,82,24,0.0
1369,55.7582538574934,12.559051355347037,3689.47,2.771,18.4,175,81,24,0.0
1372,55.758168110623956,12.559089828282595,3699.32,2.781,18.2,175,82,24,0.0
1379,55.757967783138156,12.559093935415149,3721.67,2.809,18.8,177,81,24,0.0
1380,55.75793559662998,12.55908027291298,3725.35,2.818,18.8,177,82,24,0.0
